z05	b10btot	b10b11	b10b12	b10b21	b10b26	b10b11_p	b10b12_p	b10b21_p	b10b26_p	b16btot	b16b11	b16b12	b16b21	b16b26	b16b11_p	b16b12_p	b16b21_p	b16b26_p
6613	8523	5600	2939	4758	3775	65.70	34.48	55.83	44.29	8952	5784	3173	4817	4140	64.61	35.44	53.81	46.25
6616	7415	5302	2250	4405	3141	71.50	30.34	59.41	42.36	7831	5622	2330	4559	3403	71.79	29.75	58.22	43.46
6617	4285	2631	1754	1991	2413	61.40	40.93	46.46	56.31	4322	2741	1679	2026	2396	63.42	38.85	46.88	55.44
6618	7062	5623	1492	5030	2095	79.62	21.13	71.23	29.67	7595	6048	1610	5334	2324	79.63	21.20	70.23	30.60
6621.01	6109	3127	2993	2472	3648	51.19	48.99	40.46	59.72	5948	2980	2983	2284	3680	50.10	50.15	38.40	61.87
6621.02	5856	2781	3075	2247	3609	47.49	52.51	38.37	61.63	6080	2770	3314	2221	3865	45.56	54.51	36.53	63.57
6621.031	6261	3073	3188	2571	3690	49.08	50.92	41.06	58.94	6646	3194	3452	2649	3997	48.06	51.94	39.86	60.14
6621.032	5957	3609	2349	3085	2879	60.58	39.43	51.79	48.33	6090	3546	2547	2972	3122	58.23	41.82	48.80	51.26
6621.041	5429	2471	2960	1967	3463	45.51	54.52	36.23	63.79	5667	2449	3217	1931	3738	43.22	56.77	34.07	65.96
6621.042	5140	1901	3239	1587	3553	36.98	63.02	30.88	69.12	5533	2073	3460	1675	3858	37.47	62.53	30.27	69.73
6621.111	6104	3335	2769	2626	3477	54.64	45.36	43.02	56.96	6227	3249	2979	2522	3705	52.18	47.84	40.50	59.50
6621.112	6670	4277	2397	3257	3417	64.12	35.94	48.83	51.23	6734	4204	2532	3210	3528	62.43	37.60	47.67	52.39
6621.113	7247	4189	3062	3251	4006	57.80	42.25	44.86	55.28	7529	4176	3357	3160	4376	55.47	44.59	41.97	58.12
6621.121	4486	2283	2203	1920	2565	50.89	49.11	42.80	57.18	4565	2140	2425	1776	2789	46.88	53.12	38.90	61.10
6621.122	4816	2418	2398	2075	2741	50.21	49.79	43.09	56.91	5082	2421	2661	1995	3086	47.64	52.36	39.26	60.72
6621.123	5061	2812	2250	2322	2740	55.56	44.46	45.88	54.14	5299	2755	2544	2266	3033	51.99	48.01	42.76	57.24
6621.131	4792	2309	2484	1921	2876	48.18	51.84	40.09	60.02	5338	2500	2840	2063	3281	46.83	53.20	38.65	61.46
6621.132	5682	3280	2402	2761	2921	57.73	42.27	48.59	51.41	5790	3171	2618	2637	3152	54.77	45.22	45.54	54.44
6621.133	4441	2209	2232	1889	2552	49.74	50.26	42.54	57.46	4705	2303	2406	1949	2759	48.95	51.14	41.42	58.64
6621.14	4331	2239	2102	1986	2356	51.70	48.53	45.86	54.40	4606	2213	2408	1891	2728	48.05	52.28	41.06	59.23
6621.211	3113	1675	1439	1318	1797	53.81	46.23	42.34	57.73	3268	1639	1631	1277	1992	50.15	49.91	39.08	60.95
6621.212	5656	2886	2770	2392	3265	51.03	48.97	42.29	57.73	5756	2742	3015	2265	3491	47.64	52.38	39.35	60.65
6621.213	2973	1800	1173	1494	1484	60.54	39.46	50.25	49.92	3122	1738	1384	1450	1683	55.67	44.33	46.44	53.91
