z05	b10btot	b10b11	b10b12	b10b21	b10b26	b10b11_p	b10b12_p	b10b21_p	b10b26_p	b16btot	b16b11	b16b12	b16b21	b16b26	b16b11_p	b16b12_p	b16b21_p	b16b26_p
88	6525	5815	871	5448	1263	89.12	13.35	83.49	19.36	7199	6132	1206	5732	1634	85.18	16.75	79.62	22.70
90	8623	6530	2160	6307	2403	75.73	25.05	73.14	27.87	9152	6817	2398	6427	2788	74.49	26.20	70.23	30.46
91	5115	4395	805	4167	1038	85.92	15.74	81.47	20.29	5129	4298	914	3981	1234	83.80	17.82	77.62	24.06
92	5779	3887	1915	3710	2099	67.26	33.14	64.20	36.32	6568	4171	2429	3884	2720	63.50	36.98	59.14	41.41
94	4216	3564	726	3372	931	84.54	17.22	79.98	22.08	4340	3550	852	3345	1074	81.80	19.63	77.07	24.75
96.1	5161	3182	1995	3051	2131	61.65	38.66	59.12	41.29	5474	3274	2222	3116	2379	59.81	40.59	56.92	43.46
96.2	7116	4896	2266	4583	2587	68.80	31.84	64.40	36.35	7435	4912	2565	4578	2905	66.07	34.50	61.57	39.07
96.3	4257	3158	1131	2947	1345	74.18	26.57	69.23	31.60	4637	3347	1319	3067	1594	72.18	28.45	66.14	34.38
97	6728	4922	1851	4571	2204	73.16	27.51	67.94	32.76	7537	5168	2404	4745	2837	68.57	31.90	62.96	37.64
101	4561	3710	916	3517	1116	81.34	20.08	77.11	24.47	4892	3804	1154	3593	1371	77.76	23.59	73.45	28.03
102	4479	4192	406	3993	658	93.59	9.06	89.15	14.69	4455	4087	495	3870	750	91.74	11.11	86.87	16.84
111	8288	7548	918	7220	1296	91.07	11.08	87.11	15.64	8584	7727	1023	7323	1456	90.02	11.92	85.31	16.96
112	6489	5864	721	5579	1035	90.37	11.11	85.98	15.95	6951	6206	845	5895	1184	89.28	12.16	84.81	17.03
113	6653	5691	1072	5362	1417	85.54	16.11	80.60	21.30	7214	5964	1330	5634	1703	82.67	18.44	78.10	23.61
115.1	4922	4136	823	3941	1027	84.03	16.72	80.07	20.87	5085	4108	1022	3879	1258	80.79	20.10	76.28	24.74
115.2	4653	4286	466	4088	692	92.11	10.02	87.86	14.87	4661	4235	508	4029	735	90.86	10.90	86.44	15.77
116	7670	6136	1657	5775	2056	80.00	21.60	75.29	26.81	8050	6265	1869	5830	2333	77.83	23.22	72.42	28.98
117.1	5402	4415	1033	4207	1266	81.73	19.12	77.88	23.44	5835	4626	1263	4355	1544	79.28	21.65	74.64	26.46
117.2	4891	4357	633	4165	878	89.08	12.94	85.16	17.95	5059	4438	717	4185	1013	87.72	14.17	82.72	20.02
118.1	7292	5767	1585	5299	2038	79.09	21.74	72.67	27.95	7508	5668	1890	5162	2380	75.49	25.17	68.75	31.70
118.2	4775	3705	1127	3492	1354	77.59	23.60	73.13	28.36	4733	3597	1189	3326	1474	76.00	25.12	70.27	31.14
120.1	4404	3625	885	3408	1123	82.31	20.10	77.38	25.50	4513	3628	959	3435	1188	80.39	21.25	76.11	26.32
120.2	4717	3377	1387	3311	1490	71.59	29.40	70.19	31.59	4910	3362	1604	3265	1730	68.47	32.67	66.50	35.23
121.1	6039	4600	1496	4296	1801	76.17	24.77	71.14	29.82	6486	4848	1663	4449	2067	74.75	25.64	68.59	31.87
121.2	4660	3642	1061	3456	1264	78.15	22.77	74.16	27.12	5050	3807	1282	3548	1549	75.39	25.39	70.26	30.67
121.3	5849	4429	1443	4107	1773	75.72	24.67	70.22	30.31	6521	4761	1777	4418	2133	73.01	27.25	67.75	32.71
121.4	5568	4386	1238	4191	1451	78.77	22.23	75.27	26.06	5849	4451	1448	4173	1747	76.10	24.76	71.35	29.87
131.1	5957	4697	1279	4288	1694	78.85	21.47	71.98	28.44	6188	4509	1696	4129	2082	72.87	27.41	66.73	33.65
131.2	5589	3825	1782	3487	2120	68.44	31.88	62.39	37.93	5661	3514	2157	3178	2503	62.07	38.10	56.14	44.21
131.3	5111	3304	1828	2999	2129	64.64	35.77	58.68	41.66	5447	3183	2280	2877	2587	58.44	41.86	52.82	47.49
132	5015	4513	600	4326	878	89.99	11.96	86.26	17.51	4902	4351	689	4166	921	88.76	14.06	84.99	18.79
133.1	3737	2657	1094	2491	1261	71.10	29.27	66.66	33.74	3960	2668	1307	2455	1518	67.37	33.01	61.99	38.33
133.2	4624	3338	1318	3158	1499	72.19	28.50	68.30	32.42	5109	3458	1668	3274	1856	67.68	32.65	64.08	36.33
133.3	5104	3343	1771	3105	2011	65.50	34.70	60.83	39.40	5094	3441	1661	3010	2091	67.55	32.61	59.09	41.05
133.4	5705	4444	1327	4137	1650	77.90	23.26	72.52	28.92	5973	4403	1633	4091	1951	73.72	27.34	68.49	32.66
135	7221	5421	1839	4818	2428	75.07	25.47	66.72	33.62	7961	5465	2520	4805	3169	68.65	31.65	60.36	39.81
136	7508	5698	1868	5279	2297	75.89	24.88	70.31	30.59	7711	5736	2023	5204	2560	74.39	26.24	67.49	33.20
137	4874	4059	854	3754	1157	83.28	17.52	77.02	23.74	4913	3911	1031	3570	1368	79.61	20.99	72.66	27.84
138.1	5309	4155	1178	3822	1506	78.26	22.19	71.99	28.37	5651	4294	1377	3922	1737	75.99	24.37	69.40	30.74
138.2	6827	5716	1188	5322	1598	83.73	17.40	77.96	23.41	7256	6012	1338	5519	1821	82.86	18.44	76.06	25.10
139	5059	3834	1249	3426	1664	75.79	24.69	67.72	32.89	5508	3825	1707	3321	2204	69.44	30.99	60.29	40.01
141.1	4432	3214	1217	2986	1450	72.52	27.46	67.37	32.72	4702	3214	1488	2959	1744	68.35	31.65	62.93	37.09
141.2	5567	4159	1427	3801	1780	74.71	25.63	68.28	31.97	5781	4134	1665	3695	2098	71.51	28.80	63.92	36.29
141.3	7279	5631	1678	5164	2137	77.36	23.05	70.94	29.36	7389	5429	1984	4918	2505	73.47	26.85	66.56	33.90
142.1	4253	3276	981	3057	1205	77.03	23.07	71.88	28.33	4276	3220	1065	2975	1310	75.30	24.91	69.57	30.64
142.2	4889	4006	919	3724	1201	81.94	18.80	76.17	24.57	5300	4211	1117	3839	1484	79.45	21.08	72.43	28.00
142.3	5918	4738	1257	4358	1644	80.06	21.24	73.64	27.78	5640	4343	1379	3949	1787	77.00	24.45	70.02	31.68
142.4	5197	3977	1257	3643	1599	76.52	24.19	70.10	30.77	5767	4282	1509	3831	1961	74.25	26.17	66.43	34.00
151	4953	3986	1033	3474	1534	80.48	20.86	70.14	30.97	5117	3966	1204	3408	1744	77.51	23.53	66.60	34.08
152	5895	4821	1134	4258	1723	81.78	19.24	72.23	29.23	6076	4806	1334	4186	1975	79.10	21.96	68.89	32.50
153	8011	6598	1543	6274	1949	82.36	19.26	78.32	24.33	8469	6772	1796	6403	2245	79.96	21.21	75.61	26.51
154.1	6023	4446	1618	3881	2178	73.82	26.86	64.44	36.16	6295	4431	1918	3826	2502	70.39	30.47	60.78	39.75
154.2	7305	5985	1410	5226	2175	81.93	19.30	71.54	29.77	7435	5826	1689	4989	2520	78.36	22.72	67.10	33.89
155.1	5004	4175	861	3802	1222	83.43	17.21	75.98	24.42	5210	4272	968	3774	1452	82.00	18.58	72.44	27.87
155.2	5200	4147	1077	3775	1456	79.75	20.71	72.60	28.00	5280	4220	1100	3757	1543	79.92	20.83	71.16	29.22
156.1	5001	4027	1014	3636	1391	80.52	20.28	72.71	27.81	5416	4219	1237	3781	1657	77.90	22.84	69.81	30.59
156.2	6737	5558	1253	4957	1904	82.50	18.60	73.58	28.26	7184	5631	1618	4966	2309	78.38	22.52	69.13	32.14
158.1	6262	5137	1169	4763	1546	82.03	18.67	76.06	24.69	6496	5271	1280	4736	1798	81.14	19.70	72.91	27.68
158.2	6624	5528	1161	5027	1658	83.45	17.53	75.89	25.03	6713	5501	1262	4925	1843	81.95	18.80	73.37	27.45
159	5414	4515	972	4152	1320	83.39	17.95	76.69	24.38	5529	4475	1113	4062	1519	80.94	20.13	73.47	27.47
160	5033	3958	1138	3495	1593	78.64	22.61	69.44	31.65	5055	3810	1298	3302	1811	75.37	25.68	65.32	35.83
161.1	5999	4828	1209	4204	1817	80.48	20.15	70.08	30.29	6286	4808	1500	4097	2209	76.49	23.86	65.18	35.14
161.2	6205	4940	1307	4313	1922	79.61	21.06	69.51	30.98	6412	4876	1564	4196	2236	76.04	24.39	65.44	34.87
171	6373	5537	987	5367	1241	86.88	15.49	84.21	19.47	6575	5557	1159	5326	1466	84.52	17.63	81.00	22.30
172	5901	4927	1029	4674	1287	83.49	17.44	79.21	21.81	5952	4873	1123	4573	1425	81.87	18.87	76.83	23.94
174.1	5851	5111	835	4785	1189	87.35	14.27	81.78	20.32	6013	5087	1020	4751	1371	84.60	16.96	79.01	22.80
174.2	5230	3709	1531	3271	1967	70.92	29.27	62.54	37.61	5294	3563	1736	3069	2229	67.30	32.79	57.97	42.10
174.3	4557	3245	1326	3053	1521	71.21	29.10	67.00	33.38	4756	3144	1622	2974	1795	66.11	34.10	62.53	37.74
176	5005	4035	1030	3864	1223	80.62	20.58	77.20	24.44	5265	4161	1173	3944	1408	79.03	22.28	74.91	26.74
177.1	5636	4457	1236	4322	1402	79.08	21.93	76.69	24.88	6103	4702	1435	4509	1668	77.04	23.51	73.88	27.33
177.2	4960	4180	847	3985	1061	84.27	17.08	80.34	21.39	5338	4518	878	4241	1164	84.64	16.45	79.45	21.81
178	7946	7102	1010	6776	1368	89.38	12.71	85.28	17.22	8115	7088	1185	6732	1592	87.34	14.60	82.96	19.62
191.1	4317	2857	1470	2605	1714	66.18	34.05	60.34	39.70	4680	2951	1732	2626	2056	63.06	37.01	56.11	43.93
191.2	5443	3999	1473	3736	1733	73.47	27.06	68.64	31.84	5661	4003	1682	3686	1994	70.71	29.71	65.11	35.22
191.3	5710	4117	1634	3885	1868	72.10	28.62	68.04	32.71	6079	4133	1983	3862	2247	67.99	32.62	63.53	36.96
191.4	4661	3266	1413	2998	1676	70.07	30.32	64.32	35.96	4979	3351	1644	3064	1927	67.30	33.02	61.54	38.70
191.5	4765	3127	1668	2870	1932	65.62	35.01	60.23	40.55	5114	3144	1981	2860	2268	61.48	38.74	55.92	44.35
192	7961	6572	1490	5965	2134	82.55	18.72	74.93	26.81	8229	6624	1720	5951	2394	80.50	20.90	72.32	29.09
193	7418	5865	1631	5209	2268	79.06	21.99	70.22	30.57	7737	5935	1847	5205	2571	76.71	23.87	67.27	33.23
194	4886	4067	850	3695	1224	83.24	17.40	75.62	25.05	5049	4080	997	3699	1374	80.81	19.75	73.26	27.21
195.1	4770	3949	896	3578	1294	82.79	18.78	75.01	27.13	5109	4041	1125	3641	1553	79.10	22.02	71.27	30.40
195.2	5039	4055	1033	3606	1472	80.47	20.50	71.56	29.21	5051	4069	1024	3543	1541	80.56	20.27	70.14	30.51
196	4605	3960	718	3688	1013	85.99	15.59	80.09	22.00	4826	4042	839	3702	1203	83.75	17.38	76.71	24.93
197	4657	3669	1030	3400	1291	78.78	22.12	73.01	27.72	4921	3682	1268	3372	1590	74.82	25.77	68.52	32.31
198.1	6241	4630	1623	4367	1885	74.19	26.01	69.97	30.20	6503	4721	1797	4380	2130	72.60	27.63	67.35	32.75
198.2	5981	4668	1341	4343	1666	78.05	22.42	72.61	27.85	6004	4561	1477	4221	1798	75.97	24.60	70.30	29.95
198.3	3881	3263	647	3007	906	84.08	16.67	77.48	23.34	4023	3266	792	2988	1061	81.18	19.69	74.27	26.37
198.4	5459	3977	1500	3743	1737	72.85	27.48	68.57	31.82	5822	4040	1792	3798	2037	69.39	30.78	65.24	34.99
198.5	5552	4413	1168	4186	1384	79.48	21.04	75.40	24.93	6056	4787	1287	4475	1604	79.05	21.25	73.89	26.49
198.6	5276	4618	744	4352	1010	87.53	14.10	82.49	19.14	5401	4691	794	4337	1147	86.85	14.70	80.30	21.24
199.1	6167	5388	842	5074	1156	87.37	13.65	82.28	18.74	6479	5594	963	5232	1302	86.34	14.86	80.75	20.10
199.2	5906	3875	2037	3642	2273	65.61	34.49	61.67	38.49	6264	4073	2200	3653	2620	65.02	35.12	58.32	41.83
199.3	5106	3898	1226	3577	1548	76.34	24.01	70.05	30.32	5303	3911	1407	3566	1751	73.75	26.53	67.24	33.02
200	7430	5624	1848	5228	2249	75.69	24.87	70.36	30.27	7774	5649	2164	5194	2614	72.67	27.84	66.81	33.62
213	4662	4138	593	3887	861	88.76	12.72	83.38	18.47	4763	4204	636	3877	968	88.26	13.35	81.40	20.32
217	8605	7424	1320	7078	1708	86.28	15.34	82.25	19.85	9146	7677	1596	7242	2079	83.94	17.45	79.18	22.73
221	5351	4989	485	4716	779	93.23	9.06	88.13	14.56	5658	5204	554	4894	888	91.98	9.79	86.50	15.69
223	5170	4659	595	4393	865	90.12	11.51	84.97	16.73	5407	4784	716	4493	995	88.48	13.24	83.10	18.40
224	8331	6730	1693	6367	2106	80.78	20.32	76.43	25.28	9215	7190	2129	6782	2550	78.02	23.10	73.60	27.67
225	5355	4897	580	4650	825	91.45	10.83	86.83	15.41	5650	5037	739	4796	993	89.15	13.08	84.88	17.58
227	7011	6205	888	5736	1329	88.50	12.67	81.81	18.96	7191	6276	986	5772	1474	87.28	13.71	80.27	20.50
228	7557	6511	1198	6213	1582	86.16	15.85	82.22	20.93	7710	6491	1367	6126	1782	84.19	17.73	79.46	23.11
229	7070	6521	663	6178	1054	92.23	9.38	87.38	14.91	7489	6810	804	6354	1293	90.93	10.74	84.84	17.27
230.11	5900	4838	1108	4468	1466	82.00	18.78	75.73	24.85	6062	5017	1082	4584	1509	82.76	17.85	75.62	24.89
230.12	8301	6119	2197	5741	2577	73.71	26.47	69.16	31.04	8763	6569	2212	6027	2746	74.96	25.24	68.78	31.34
230.13	4808	3995	846	3640	1211	83.09	17.60	75.71	25.19	5005	4115	928	3756	1290	82.22	18.54	75.04	25.77
230.21	5154	4148	1018	3825	1338	80.48	19.75	74.21	25.96	5474	4303	1189	3925	1559	78.61	21.72	71.70	28.48
230.22	4608	2976	1643	2706	1908	64.58	35.66	58.72	41.41	4775	2985	1795	2723	2054	62.51	37.59	57.03	43.02
230.23	5900	4275	1661	4115	1836	72.46	28.15	69.75	31.12	6212	4668	1565	4455	1797	75.14	25.19	71.72	28.93
230.24	4443	3585	889	3287	1185	80.69	20.01	73.98	26.67	4683	3674	1032	3346	1360	78.45	22.04	71.45	29.04
230.31	3927	3154	775	2743	1186	80.32	19.74	69.85	30.20	4042	3148	897	2700	1343	77.88	22.19	66.80	33.23
230.32	7402	5978	1445	5537	1877	80.76	19.52	74.80	25.36	7744	5985	1777	5542	2211	77.29	22.95	71.57	28.55
230.33	5906	5077	906	4765	1228	85.96	15.34	80.68	20.79	6017	5170	913	4727	1360	85.92	15.17	78.56	22.60
230.41	4566	3092	1485	2847	1726	67.72	32.52	62.35	37.80	4608	3140	1474	2812	1801	68.14	31.99	61.02	39.08
230.42	5538	3680	1875	3366	2188	66.45	33.86	60.78	39.51	5865	4046	1830	3534	2344	68.99	31.20	60.26	39.97
230.51	3566	3115	478	2896	688	87.35	13.40	81.21	19.29	3733	3175	580	2927	821	85.05	15.54	78.41	21.99
230.52	4542	3537	1013	3224	1320	77.87	22.30	70.98	29.06	4580	3535	1051	3231	1352	77.18	22.95	70.55	29.52
230.61	4475	3503	992	3191	1311	78.28	22.17	71.31	29.30	4826	3606	1238	3306	1538	74.72	25.65	68.50	31.87
230.62	3825	2870	971	2566	1280	75.03	25.39	67.08	33.46	4030	2984	1069	2618	1438	74.04	26.53	64.96	35.68
230.63	5880	4369	1557	4027	1905	74.30	26.48	68.49	32.40	6534	4819	1747	4390	2192	73.75	26.74	67.19	33.55
230.71	6919	5627	1320	5189	1752	81.33	19.08	75.00	25.32	7025	5562	1488	5109	1941	79.17	21.18	72.73	27.63
230.72	5402	3844	1563	3344	2061	71.16	28.93	61.90	38.15	5424	3776	1649	3241	2182	69.62	30.40	59.75	40.23
231	5298	4347	1030	3989	1411	82.05	19.44	75.29	26.63	5637	4458	1268	4110	1631	79.08	22.49	72.91	28.93
242.1	4872	3828	1110	3594	1341	78.57	22.78	73.77	27.52	5218	4017	1251	3709	1566	76.98	23.97	71.08	30.01
243.1	4886	3033	1858	2876	2011	62.08	38.03	58.86	41.16	5291	3083	2211	2943	2350	58.27	41.79	55.62	44.42
243.2	3676	1987	1699	1938	1750	54.05	46.22	52.72	47.61	3771	1919	1857	1885	1894	50.89	49.24	49.99	50.23
243.3	3507	2060	1465	1945	1577	58.74	41.77	55.46	44.97	4179	2399	1800	2257	1938	57.41	43.07	54.01	46.37
243.4	4811	2508	2307	2528	2290	52.13	47.95	52.55	47.60	5110	2314	2803	2396	2722	45.28	54.85	46.89	53.27
243.5	6024	4289	1778	3991	2066	71.20	29.52	66.25	34.30	6358	4174	2219	3922	2467	65.65	34.90	61.69	38.80
244	6718	5380	1386	5070	1694	80.08	20.63	75.47	25.22	7236	5479	1803	5040	2225	75.72	24.92	69.65	30.75
245	6513	4794	1729	4303	2228	73.61	26.55	66.07	34.21	6715	4599	2131	4028	2704	68.49	31.73	59.99	40.27
247.1	7068	4201	2876	3941	3144	59.44	40.69	55.76	44.48	7219	4086	3141	3876	3363	56.60	43.51	53.69	46.59
247.2	3738	2020	1721	1797	1946	54.04	46.04	48.07	52.06	4352	2302	2051	2091	2263	52.90	47.13	48.05	52.00
247.3	5097	2692	2431	2642	2478	52.82	47.69	51.83	48.62	5586	2833	2767	2798	2804	50.72	49.53	50.09	50.20
248.1	4864	4150	791	3679	1234	85.32	16.26	75.64	25.37	5142	4220	976	3715	1470	82.07	18.98	72.25	28.59
250.1	4990	3727	1300	3389	1635	74.69	26.05	67.92	32.77	5324	3733	1623	3432	1913	70.12	30.48	64.46	35.93
250.2	5049	4113	949	3793	1264	81.46	18.80	75.12	25.03	5317	4153	1176	3802	1521	78.11	22.12	71.51	28.61
251	7275	5572	1768	5220	2118	76.59	24.30	71.75	29.11	7857	5801	2103	5363	2545	73.83	26.77	68.26	32.39
261.01	7616	5418	2252	4728	2943	71.14	29.57	62.08	38.64	7906	5280	2671	4495	3451	66.78	33.78	56.86	43.65
261.021	6037	4239	1813	3679	2379	70.22	30.03	60.94	39.41	6699	4471	2231	3869	2837	66.74	33.30	57.75	42.35
261.022	4997	3537	1470	3109	1908	70.78	29.42	62.22	38.18	5268	3535	1744	3047	2235	67.10	33.11	57.84	42.43
261.023	5200	3851	1359	3285	1923	74.06	26.13	63.17	36.98	5426	3838	1595	3256	2176	70.73	29.40	60.01	40.10
261.024	5435	4380	1067	3905	1542	80.59	19.63	71.85	28.37	5495	4333	1168	3792	1711	78.85	21.26	69.01	31.14
261.025	5064	3880	1194	3406	1668	76.62	23.58	67.26	32.94	5661	3958	1714	3510	2157	69.92	30.28	62.00	38.10
261.031	6224	4122	2104	3719	2507	66.23	33.80	59.75	40.28	6598	4223	2377	3743	2857	64.00	36.03	56.73	43.30
261.032	4716	3270	1446	2924	1792	69.34	30.66	62.00	38.00	4963	3397	1566	2991	1973	68.45	31.55	60.27	39.75
261.033	6253	4220	2044	3759	2504	67.49	32.69	60.12	40.04	7011	4673	2344	4098	2921	66.65	33.43	58.45	41.66
261.034	4691	3038	1653	2628	2063	64.76	35.24	56.02	43.98	4814	3145	1669	2687	2127	65.33	34.67	55.82	44.18
261.035	4841	3188	1653	2870	1971	65.85	34.15	59.29	40.71	4797	3272	1527	2908	1891	68.21	31.83	60.62	39.42
261.036	4033	2936	1098	2527	1506	72.80	27.23	62.66	37.34	4887	3548	1341	3064	1824	72.60	27.44	62.70	37.32
261.037	6503	4323	2181	3718	2785	66.48	33.54	57.17	42.83	6658	4313	2349	3704	2957	64.78	35.28	55.63	44.41
261.038	5450	4481	992	3977	1490	82.22	18.20	72.97	27.34	5397	4384	1025	3836	1575	81.23	18.99	71.08	29.18
261.039	6342	4814	1535	4180	2165	75.91	24.20	65.91	34.14	7002	5388	1622	4701	2304	76.95	23.16	67.14	32.90
261.041	6754	4089	2674	3675	3086	60.54	39.59	54.41	45.69	7327	4350	2980	3818	3511	59.37	40.67	52.11	47.92
261.042	6957	4294	2666	3823	3137	61.72	38.32	54.95	45.09	7247	4563	2685	3940	3309	62.96	37.05	54.37	45.66
261.043	6056	3450	2608	3024	3035	56.97	43.06	49.93	50.12	5871	3580	2295	3002	2872	60.98	39.09	51.13	48.92
261.044	4113	2467	1647	2141	1974	59.98	40.04	52.05	47.99	4116	2586	1532	2156	1960	62.83	37.22	52.38	47.62
261.051	5456	3385	2074	3016	2440	62.04	38.01	55.28	44.72	5686	3661	2028	3199	2488	64.39	35.67	56.26	43.76
261.052	6546	4705	1867	4272	2293	71.88	28.52	65.26	35.03	7114	5132	1997	4599	2531	72.14	28.07	64.65	35.58
261.061	5931	4087	1845	3659	2274	68.91	31.11	61.69	38.34	6454	4169	2288	3678	2779	64.60	35.45	56.99	43.06
261.062	4911	3910	1000	3473	1438	79.62	20.36	70.72	29.28	5070	3962	1110	3480	1591	78.15	21.89	68.64	31.38
261.063	4923	3751	1175	3319	1604	76.19	23.87	67.42	32.58	4891	3745	1149	3248	1644	76.57	23.49	66.41	33.61
261.064	4993	3471	1531	3066	1938	69.52	30.66	61.41	38.81	5184	3442	1745	2984	2207	66.40	33.66	57.56	42.57
261.065	5675	4013	1662	3545	2130	70.71	29.29	62.47	37.53	5875	4024	1851	3513	2362	68.49	31.51	59.80	40.20
261.066	4083	3038	1055	2645	1450	74.41	25.84	64.78	35.51	4408	3091	1322	2694	1722	70.12	29.99	61.12	39.07
261.071	6728	4869	1886	4130	2612	72.37	28.03	61.39	38.82	7050	4847	2228	4059	3009	68.75	31.60	57.57	42.68
261.072	4807	3591	1220	3155	1655	74.70	25.38	65.63	34.43	5056	3555	1505	3101	1960	70.31	29.77	61.33	38.77
261.073	4837	3376	1499	2919	1949	69.80	30.99	60.35	40.29	5131	3576	1580	3063	2091	69.69	30.79	59.70	40.75
261.074	6093	4628	1472	4101	1997	75.96	24.16	67.31	32.78	6449	4622	1834	4069	2386	71.67	28.44	63.10	37.00
261.075	5279	4248	1041	3703	1587	80.47	19.72	70.15	30.06	5576	4193	1398	3630	1958	75.20	25.07	65.10	35.11
261.076	5095	3980	1131	3479	1632	78.12	22.20	68.28	32.03	5230	3928	1304	3369	1866	75.11	24.93	64.42	35.68
261.081	5220	3532	1702	3119	2109	67.66	32.61	59.75	40.40	5599	3500	2106	3081	2526	62.51	37.61	55.03	45.12
261.082	5118	3617	1501	3170	1955	70.67	29.33	61.94	38.20	5456	3542	1921	3044	2416	64.92	35.21	55.79	44.28
261.083	5683	4212	1512	3699	2030	74.12	26.61	65.09	35.72	5723	4047	1706	3456	2293	70.71	29.81	60.39	40.07
261.0901	4455	3530	937	3166	1290	79.24	21.03	71.07	28.96	4795	3754	1052	3335	1463	78.29	21.94	69.55	30.51
261.0902	5144	3815	1332	3381	1768	74.16	25.89	65.73	34.37	5452	3905	1554	3374	2085	71.63	28.50	61.89	38.24
261.0903	3964	2952	1012	2605	1360	74.47	25.53	65.72	34.31	4265	3119	1146	2715	1552	73.13	26.87	63.66	36.39
261.0904	5196	3682	1527	3304	1908	70.86	29.39	63.59	36.72	6177	4350	1834	3853	2335	70.42	29.69	62.38	37.80
261.0905	5263	3400	1863	3035	2229	64.60	35.40	57.67	42.35	5348	3365	1985	2915	2434	62.92	37.12	54.51	45.51
261.0906	5068	3391	1678	3047	2023	66.91	33.11	60.12	39.92	5647	3737	1916	3240	2408	66.18	33.93	57.38	42.64
261.0907	5216	3917	1301	3542	1675	75.10	24.94	67.91	32.11	5203	3772	1439	3326	1880	72.50	27.66	63.92	36.13
261.0908	4149	2500	1655	2227	1929	60.26	39.89	53.68	46.49	4586	2774	1815	2401	2188	60.49	39.58	52.35	47.71
261.0909	3860	2267	1593	1951	1909	58.73	41.27	50.54	49.46	3868	2319	1549	1900	1968	59.95	40.05	49.12	50.88
261.091	5029	3000	2042	2627	2415	59.65	40.60	52.24	48.02	4868	3042	1839	2526	2355	62.49	37.78	51.89	48.38
261.101	5083	3736	1348	3370	1713	73.50	26.52	66.30	33.70	5436	3941	1496	3520	1916	72.50	27.52	64.75	35.25
261.102	6074	4101	1973	3746	2328	67.52	32.48	61.67	38.33	6195	4296	1899	3846	2350	69.35	30.65	62.08	37.93
261.103	3275	2321	957	2138	1146	70.87	29.22	65.28	34.99	3201	2334	874	2123	1081	72.91	27.30	66.32	33.77
261.104	6292	4875	1419	4376	1916	77.48	22.55	69.55	30.45	6560	4972	1590	4410	2150	75.79	24.24	67.23	32.77
261.105	4155	3354	812	2969	1194	80.72	19.54	71.46	28.74	4431	3383	1052	2950	1488	76.35	23.74	66.58	33.58
261.106	5505	4211	1297	3748	1758	76.49	23.56	68.08	31.93	6185	4603	1584	4096	2090	74.42	25.61	66.22	33.79
261.107	4200	3367	848	2976	1236	80.17	20.19	70.86	29.43	4199	3367	848	2912	1306	80.19	20.20	69.35	31.10
261.1101	5106	3141	1965	2733	2373	61.52	38.48	53.53	46.47	5554	3196	2358	2791	2764	57.54	42.46	50.25	49.77
261.1102	5879	3797	2097	3306	2583	64.59	35.67	56.23	43.94	6326	3896	2441	3389	2947	61.59	38.59	53.57	46.59
261.1103	3820	2404	1418	2082	1740	62.93	37.12	54.50	45.55	4260	2450	1810	2121	2139	57.51	42.49	49.79	50.21
261.1104	5162	3471	1693	3124	2038	67.24	32.80	60.52	39.48	5212	3457	1757	3020	2192	66.33	33.71	57.94	42.06
261.1105	4671	2638	2042	2313	2383	56.48	43.72	49.52	51.02	5227	2817	2411	2378	2858	53.89	46.13	45.49	54.68
261.1106	4421	2956	1471	2620	1804	66.86	33.27	59.26	40.81	5103	3305	1802	2918	2191	64.77	35.31	57.18	42.94
261.1107	4941	3109	1840	2563	2383	62.92	37.24	51.87	48.23	5670	3510	2162	2737	2935	61.90	38.13	48.27	51.76
261.1108	5688	3952	1751	3418	2287	69.48	30.78	60.09	40.21	5762	3801	1973	3235	2536	65.97	34.24	56.14	44.01
261.1109	4727	3285	1456	2915	1819	69.49	30.80	61.67	38.48	5089	3425	1669	2995	2102	67.30	32.80	58.85	41.30
261.111	5277	3523	1758	3028	2251	66.76	33.31	57.38	42.66	5637	3691	1949	3098	2542	65.48	34.58	54.96	45.09
261.1111	6131	3872	2259	3313	2826	63.15	36.85	54.04	46.09	6940	4455	2486	3621	3326	64.19	35.82	52.18	47.93
261.1112	4614	3448	1186	3017	1622	74.73	25.70	65.39	35.15	5168	3712	1470	3155	2032	71.83	28.44	61.05	39.32
261.121	6337	4426	1916	3978	2365	69.84	30.24	62.77	37.32	6840	4851	1995	4159	2688	70.92	29.17	60.80	39.30
261.122	6163	3823	2350	3331	2849	62.03	38.13	54.05	46.23	6339	3796	2547	3229	3117	59.88	40.18	50.94	49.17
261.123	4400	2432	1970	2054	2348	55.27	44.77	46.68	53.36	4412	2305	2107	1954	2459	52.24	47.76	44.29	55.73
261.124	5639	3703	1940	3052	2592	65.67	34.40	54.12	45.97	5924	3739	2190	2998	2929	63.12	36.97	50.61	49.44
261.125	5851	3696	2163	3242	2613	63.17	36.97	55.41	44.66	6203	3825	2382	3253	2951	61.66	38.40	52.44	47.57
301	6898	6245	789	6051	1031	90.53	11.44	87.72	14.95	7315	6541	903	6305	1189	89.42	12.34	86.19	16.25
303	5006	4793	336	4637	564	95.75	6.71	92.63	11.27	5128	4832	441	4643	681	94.23	8.60	90.54	13.28
306.1	7198	6157	1079	5899	1347	85.54	14.99	81.95	18.71	7925	6615	1361	6304	1677	83.47	17.17	79.55	21.16
306.2	6445	5382	1123	5213	1322	83.51	17.42	80.88	20.51	6584	5339	1301	5107	1550	81.09	19.76	77.57	23.54
312	8064	7648	619	7466	887	94.84	7.68	92.58	11.00	8317	7750	804	7540	1077	93.18	9.67	90.66	12.95
