Z05_RES	NAME	typologie_ofs	typologie_binaire	PFNONE	PFOBL	PFGEN	PFPROF	PFMAT	PFPRSF	PFPRSS	PFBAC	PFMAS	PFPHD	PFS	PFPRES	ADO	ADUNE	NADFM	NADHO	NADRET	NADINV	NADOTH	ADM	ADF	AD3PRIM	AD3SEC	AD3TERT	ADD1AGR	ADD2EXT	ADD2BAS	ADD2HEA	ADD2LIT	ADD2IS	ADD2CST	ADD3TRD	ADD3TRS	ADD3ACC	ADD3IT	ADD3FIN	ADD3RE	ADD3PRO	ADD3SUP	ADD3ADM	ADD3EDU	ADD3HC	ADD3SOC	ADD3REC
404.1	Burgdorf Altstadt-Lorraine	Espace des centres urbains	U	0.030323603	0.185562344	0.078298258	0.342837746	0.068341254	0.049106133	0.0355284	0.042090971	0.047522064	0.012219959	0.062910161	0.045259108	0.943366337	0.056633663	0.081980198	0.073663366	0.377821782	0.037623762	0.017821782	0.597227723	0.402772277	0.020949721	0.258845438	0.720204842	0.020949721	0	0.065176909	0.023743017	0.103351955	0.003724395	0.062849162	0.138268156	0.024674115	0.033519553	0.022346369	0.058193669	0.010707635	0.081005587	0.065176909	0.070763501	0.029329609	0.083333333	0.064711359	0.00744879
404.2	Burgdorf Schlossmatt-Oberburg	Espace des centres urbains	U	0.023993145	0.136032562	0.058054841	0.381748072	0.066195373	0.075407027	0.023350471	0.035132819	0.055269923	0.014353042	0.083119109	0.047343616	0.957653458	0.042346542	0.078865579	0.064102564	0.378787879	0.038850039	0.024864025	0.534188034	0.465811966	0.004865104	0.261831048	0.733303848	0.004865104	0	0.061919505	0.051304732	0.097744361	0	0.05086245	0.123839009	0.055285272	0.028306059	0.042016807	0.055727554	0	0.063246351	0.032728881	0.083591331	0.055285272	0.103494029	0.062804069	0.010614772
404.3	Burgdorf Steinhof-Buchmatt	Espace des centres urbains	U	0.019325369	0.13281799	0.062192551	0.348383696	0.078355587	0.075720309	0.027055517	0.033028812	0.051475755	0.016514406	0.107870696	0.047259311	0.966604824	0.033395176	0.103277675	0.068027211	0.30148423	0.014223871	0.008039579	0.511131725	0.488868275	0.010733453	0.241144902	0.748121646	0.010733453	0	0.052593918	0.03470483	0.096958855	0.00822898	0.048658318	0.169588551	0.056887299	0.030411449	0.019677996	0.060465116	0.003220036	0.061538462	0.017173524	0.070125224	0.069767442	0.088729875	0.06726297	0.011449016
406.1	Hasle-Oberburg	Espace hors influence des centres urbains	N	0.020043068	0.163988736	0.090110982	0.399701839	0.051018718	0.078184529	0.018386616	0.006957098	0.0172271	0.005135001	0.100215339	0.049030976	0.96954898	0.03045102	0.058029302	0.095087619	0.302786556	0.028727377	0.006607297	0.573972996	0.426027004	0.044198895	0.30841729	0.647383815	0.044198895	0.002599935	0.070523237	0.037374066	0.113097173	0.015924602	0.068898278	0.178420539	0.048423789	0.039324017	0.009099773	0.020474488	0.007474813	0.058823529	0.036074098	0.026974326	0.037699058	0.048098798	0.096197595	0.007474813
409.1	Hindelbank-Krauchthal	Espace sous influence des centres urbains	N	0.010667584	0.129903648	0.093943565	0.402615279	0.050240881	0.105127323	0.021163111	0.021507226	0.023743978	0.006710255	0.094631796	0.039745354	0.974905165	0.025094835	0.084622118	0.061861687	0.297344616	0.018091625	0.010213014	0.572220601	0.427779399	0.048083171	0.21280052	0.739116309	0.048083171	0	0.023066927	0.028589994	0.066601689	0.002923977	0.091617934	0.16634178	0.046458739	0.01754386	0.039311241	0.0402859	0.010071475	0.069850552	0.037361923	0.079922027	0.061728395	0.044509422	0.06042885	0.012995452
413	Koppigen-Ersigen	Espace hors influence des centres urbains	N	0.020031733	0.102935343	0.07199524	0.402023007	0.053351845	0.132685442	0.025981753	0.022213407	0.01090837	0.00595002	0.114042047	0.037881793	0.987204724	0.012795276	0.057414698	0.052821522	0.267716535	0.010498688	0.010826772	0.508858268	0.491141732	0.075679647	0.224467303	0.699853049	0.075679647	0	0.049963262	0.016899339	0.072740632	0.011756062	0.073108009	0.173769287	0.055106539	0.020205731	0.022042616	0.051800147	0.009184423	0.052902278	0.040411462	0.042248347	0.048126378	0.05620867	0.082659809	0.011756062
425	Kirchberg	Espace des centres urbains	U	0.018219319	0.118425576	0.070299072	0.397387418	0.060501891	0.096596769	0.025266415	0.027500859	0.032657271	0.006875215	0.099690615	0.046579581	0.966202783	0.033797217	0.056234024	0.047145697	0.283158194	0.026412951	0.002272082	0.530815109	0.469184891	0.024757129	0.291444688	0.683798182	0.024757129	0	0.076151677	0.02945785	0.107803196	0.015042306	0.062989658	0.161078032	0.04073958	0.044186775	0.031024757	0.052334691	0.009714823	0.074271388	0.035412097	0.041679724	0.038859292	0.062989658	0.055468505	0.011908493
434	Courtelary-Moyen Ergüel	Espace hors influence des centres urbains	N	0.020542317	0.179745275	0.081552999	0.322719803	0.048685292	0.078060805	0.025472473	0.023829088	0.038003287	0.005546426	0.119556286	0.056285949	0.946522064	0.053477936	0.069184742	0.06881077	0.344801795	0.024682124	0.010845176	0.554225879	0.445774121	0.070262919	0.386219402	0.543517679	0.070262919	0	0.066183137	0.009972801	0.259292838	0.006799637	0.043970988	0.111967362	0.029465095	0.047597461	0.013599275	0.039891206	0.004986401	0.045784225	0.016772439	0.035811423	0.058476881	0.041704442	0.060743427	0.003626473
443	St-Imier-Haut Ergüel	Espace hors influence des centres urbains	N	0.025979497	0.220474652	0.088189861	0.286336189	0.067265833	0.062772083	0.022328325	0.021204887	0.031315826	0.003510743	0.115152366	0.055469737	0.924482666	0.075517334	0.103198065	0.060467616	0.373286751	0.040042999	0.029024456	0.5493147	0.4506853	0.048216645	0.392668428	0.559114927	0.048216645	0	0.067701453	0.00990753	0.233157199	0.009247028	0.072655218	0.096433289	0.031704095	0.03005284	0.019154557	0.032694848	0.010568032	0.034676354	0.025429326	0.035336856	0.053830911	0.082562748	0.07331572	0.005614267
444	Sonceboz-Bas Ergüel	Espace sous influence des centres urbains	N	0.017259749	0.177072235	0.100362242	0.325378223	0.050287662	0.054123162	0.025143831	0.015981249	0.04432133	0.004048583	0.128276156	0.057745579	0.957723577	0.042276423	0.085365854	0.073577236	0.36097561	0.016260163	0.026422764	0.550406504	0.449593496	0.025641026	0.402999516	0.571359458	0.025641026	0	0.037252056	0.060474117	0.247701984	0.003870343	0.053701016	0.1301403	0.04934688	0.021286889	0.023222061	0.023222061	0.015481374	0.044992743	0.02467344	0.055636188	0.04934688	0.038703435	0.053701016	0.007740687
